"Subject","Start Date","Start Time","End Date","End Time","Description"
"Metody numeryczne","2017/10/02","11:00","2017/10/02","12:30"," Wykład Sala: C-2 224  prowadzący: Ewa Dudek-Dyduch  prof. dr hab. inż."
"Metody numeryczne","2017/10/09","11:00","2017/10/09","12:30"," Wykład Sala: C-2 224  prowadzący: Ewa Dudek-Dyduch  prof. dr hab. inż."
"Metody numeryczne","2017/10/16","11:00","2017/10/16","12:30"," Wykład Sala: C-2 224  prowadzący: Ewa Dudek-Dyduch  prof. dr hab. inż."
"Metody numeryczne","2017/10/23","11:00","2017/10/23","12:30"," Wykład Sala: C-2 224  prowadzący: Ewa Dudek-Dyduch  prof. dr hab. inż."
"Metody numeryczne","2017/10/30","11:00","2017/10/30","12:30"," Wykład Sala: C-2 224  prowadzący: Ewa Dudek-Dyduch  prof. dr hab. inż."
"Metody numeryczne","2017/11/06","11:00","2017/11/06","12:30"," Wykład Sala: C-2 224  prowadzący: Ewa Dudek-Dyduch  prof. dr hab. inż."
"Metody numeryczne","2017/11/13","11:00","2017/11/13","12:30"," Wykład Sala: C-2 224  prowadzący: Ewa Dudek-Dyduch  prof. dr hab. inż."
"Systemy dynamiczne","2017/10/02","09:30","2017/10/02","11:00"," Wykład Sala: C-2 224  prowadzący: Wojciech Mitkowski  prof. dr hab. inż."
"Systemy dynamiczne","2017/10/09","09:30","2017/10/09","11:00"," Wykład Sala: C-2 224  prowadzący: Wojciech Mitkowski  prof. dr hab. inż."
"Systemy dynamiczne","2017/10/16","09:30","2017/10/16","11:00"," Wykład Sala: C-2 224  prowadzący: Wojciech Mitkowski  prof. dr hab. inż."
"Systemy dynamiczne","2017/10/23","09:30","2017/10/23","11:00"," Wykład Sala: C-2 224  prowadzący: Wojciech Mitkowski  prof. dr hab. inż."
"Systemy dynamiczne","2017/10/30","09:30","2017/10/30","11:00"," Wykład Sala: C-2 224  prowadzący: Wojciech Mitkowski  prof. dr hab. inż."
"Systemy dynamiczne","2017/11/06","09:30","2017/11/06","11:00"," Wykład Sala: C-2 224  prowadzący: Wojciech Mitkowski  prof. dr hab. inż."
"Systemy dynamiczne","2017/11/13","09:30","2017/11/13","11:00"," Wykład Sala: C-2 224  prowadzący: Wojciech Mitkowski  prof. dr hab. inż."
"Systemy dynamiczne","2017/11/20","09:30","2017/11/20","11:00"," Wykład Sala: C-2 224  prowadzący: Wojciech Mitkowski  prof. dr hab. inż."
"Systemy dynamiczne","2017/11/27","09:30","2017/11/27","11:00"," Wykład Sala: C-2 224  prowadzący: Wojciech Mitkowski  prof. dr hab. inż."
"Systemy dynamiczne","2017/12/04","09:30","2017/12/04","11:00"," Wykład Sala: C-2 224  prowadzący: Wojciech Mitkowski  prof. dr hab. inż."
